,x_coord,y_coord,BillNo,BillName,cluster_no
118,21.261139,28.113504,2100808,  부가가치세법 일부개정법률안,0
119,-4.5230885,-10.744054,2100809,  혈액관리법 일부개정법률안,2
120,-1.9144058,-2.5647573,2100906,  새마을운동조직 육성법 일부개정법률안,2
121,10.482754,26.158102,2100861,  조세특례제한법 일부개정법률안,0
122,12.339854,16.45911,2100880,  조세특례제한법 일부개정법률안,0
123,12.244302,22.886663,2100860,  조세특례제한법 일부개정법률안,0
124,-6.2030787,9.201182,2100873,  근로복지기본법 일부개정법률안,2
125,9.373194,15.684416,2100879,  조세특례제한법 일부개정법률안,0
126,-0.15050657,-5.2446046,2100973,  국가유공자 등 예우 및 지원에 관한 법률 일부개정법률안,2
127,0.7865509,9.676221,2100977,  지역사랑상품권 이용 활성화에 관한 법률 일부개정법률안,2
128,-3.4712508,1.8496162,2100979,  녹색건축물 조성 지원법 일부개정법률안,2
129,5.1041446,0.3654883,2101072,  기업활동 규제완화에 관한 특별조치법 일부개정법률안,2
130,3.2288935,2.484723,2101039,  근로기준법 일부개정법률안,2
131,17.753363,19.617172,2101051,  조세특례제한법 일부개정법률안,0
132,-14.331272,9.343447,2101151,  근로기준법 일부개정법률안,2
133,-14.52258,9.38697,2101155,  고용보험법 일부개정법률안,2
134,-9.193681,-7.517551,2101215,  재외국민의 교육지원 등에 관한 법률 일부개정법률안,2
135,-4.1930575,-4.862188,2101204,  국립공공보건의료대학 설립·운영에 관한 법률안,2
136,-5.336818,-6.6133456,2101206,  법인세법 일부개정법률안,2
137,-5.316915,-6.5995913,2101205,  조세특례제한법 일부개정법률안,2
138,11.52559,13.444943,2101234,  조세특례제한법 일부개정법률안,0
139,-0.897812,2.1846309,2101170,  항공우주산업개발 촉진법 일부개정법률안,2
140,-12.451546,-7.8932047,2101273,  학교급식법 일부개정법률안,2
141,-2.2596729,-13.110582,2101253,  예술인 복지법 일부개정법률안,2
142,-21.129557,14.068675,2101265,  국가재정법 일부개정법률안,2
143,2.5067394,-2.7048674,2101352,  지방대학 및 지역균형인재 육성에 관한 법률 일부개정법률안,2
144,-7.1771226,8.6420145,2101332,  남녀고용평등과 일·가정 양립 지원에 관한 법률 일부개정법률안,2
145,-2.2493887,0.8466912,2101298,  남북 보건의료의 교류협력 증진에 관한 법률안,2
146,0.8767725,-18.1171,2101306,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
147,-3.983635,-20.220455,2101310,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
148,3.5978074,-1.7857724,2101427,  가맹사업거래의 공정화에 관한 법률 일부개정법률안,2
149,21.57824,24.096874,2101431,  부가가치세법 일부개정법률안,0
150,16.4883,4.782227,2101433,  소상공인 보호 및 지원에 관한 법률 일부개정법률안,2
151,19.150663,23.793625,2101449,  조세특례제한법 일부개정법률안,0
152,4.3445816,-2.3233619,2101446,  대리점거래의 공정화에 관한 법률 일부개정법률안,2
153,23.895948,28.30456,2101439,  부가가치세법 일부개정법률안,0
154,14.879282,7.911093,2101381,  공공기관의 운영에 관한 법률 일부개정법률안,2
155,15.153709,7.8643875,2101383,  국가를 당사자로 하는 계약에 관한 법률 일부개정법률안,2
156,13.693145,13.415194,2101385,  조세특례제한법 일부개정법률안,0
157,-10.621243,3.1371927,2101471,  지방공무원법 일부개정법률안,2
158,-10.621269,3.1374848,2101470,  국가공무원법 일부개정법률안,2
159,21.401073,8.168899,2101467,  농업기계화 촉진법 일부개정법률안,2
160,-7.471083,5.49566,2101493,  근로기준법 일부개정법률안,2
161,15.920139,15.148708,2101581,  조세특례제한법 일부개정법률안,0
162,-1.2218107,-17.924894,2101587,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
163,-10.818287,-6.240406,2101598,  초·중등교육법 일부개정법률안,2
164,-10.874815,-22.998112,2101543,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
165,-3.0436988,-19.229729,2101544,  감염병의 예방 및 관리에 관한 법률 일부개정법률안,2
166,-3.0917,-6.395168,2101569,  자원의 절약과 재활용촉진에 관한 법률 일부개정법률안,2
167,-8.566799,-9.141093,2101565,  초·중등교육법 일부개정법률안,2
168,-1.9587697,-13.911872,2101659,  재난 및 안전관리 기본법 일부개정법률안,2
169,-7.1112366,-9.701585,2101663,  출입국관리법 일부개정법률안,2
170,-1.8287394,-0.7713338,2101672,  직업교육훈련 촉진법 일부개정법률안,2
171,-22.271011,13.109985,2101666,  국가회계법 일부개정법률안,2
172,-21.758017,12.836608,2101665,  국가재정법 일부개정법률안,2
173,8.814817,0.38385263,2101636,  상속세 및 증여세법 일부개정법률안,0
174,21.432009,25.344326,2101629,  부가가치세법 일부개정법률안,0
